Price,Address,Size,Rooms
 31.89 M Ft ," Pannónia utca, XIII. kerület", 39 m² terület, 1 szoba
 31.9 M Ft ," Övezet utca, XIII. kerület", 49 m² terület, 2 szoba
 19.9 M Ft ," Kispest, XIX. kerület", 39 m² terület, 1 szoba
 23.9 M Ft ," Munkásotthon utca, IV. kerület", 34 m² terület, 1 + 1 fél szoba
 28.5 M Ft ," Mór utca 22, XIII. kerület", 46 m² terület, 1 + 1 fél szoba
 25.5 M Ft ," Váci út 97, XIII. kerület", 31 m² terület, 1 szoba
 35.4 M Ft ," Lehel utca 28, XIII. kerület", 48 m² terület, 1 + 1 fél szoba
 25.9 M Ft ," Rózsa utca, IV. kerület", 53 m² terület, 2 szoba
 21.9 M Ft ," Baba utca, XX. kerület", 67 m² terület, 2 + 1 fél szoba
 19.9 M Ft ," Szent László út, XIII. kerület", 27 m² terület, 1 szoba
 35.9 M Ft ," Hegedűs Gyula utca, XIII. kerület", 49 m² terület, 2 szoba
 29.8 M Ft ," Megyer – Izzó lakótelep, IV. kerület", 52 m² terület, 2 szoba
 28.5 M Ft ," Szegedi út 55-57, XIII. kerület", 34 m² terület, 1 szoba
 24.9 M Ft ," Kassai utca, IV. kerület", 32 m² terület, 1 szoba
 23.9 M Ft ," Kordován tér, IV. kerület", 38 m² terület, 1 szoba
 21.9 M Ft ," Wesselényi utca, XX. kerület", 48 m² terület, 2 szoba
 24.9 M Ft ," Simonyi Zsigmond utca, XIX. kerület", 53 m² terület, 1 + 2 fél szoba
 34.99 M Ft ," Nyár utca, IV. kerület", 71 m² terület, 2 + 1 fél szoba
 23.5 M Ft ," Reitter Ferenc utca, XIII. kerület", 42 m² terület, 1 szoba
 33.9 M Ft ," Lebstück Mária utca 49, IV. kerület", 70 m² terület, 2 + 1 fél szoba
 33.3 M Ft ," Babér utca, XIII. kerület", 58 m² terület, 1 + 2 fél szoba
 34.8 M Ft ," Üteg utca 49, XIII. kerület", 40 m² terület, 1 szoba
 26.3 M Ft ," Izzó utca 7, IV. kerület", 54 m² terület, 2 szoba
 25 M Ft ," Rózsa utca 36, IV. kerület", 46 m² terület, 1 + 1 fél szoba
 28.9 M Ft ," Gömb utca 30, XIII. kerület", 43 m² terület, 2 szoba
 36.49 M Ft ," Vitkovics Mihály utca, V. kerület", 29 m² terület, 1 szoba
 20.9 M Ft ," Perényi Zsigmond utca 49/B, IV. kerület", 39 m² terület, 1 szoba
 24.49 M Ft ," Perényi Zsigmond utca, IV. kerület", 30 m² terület, 1 szoba
 26.9 M Ft ," Kazinczy utca, XIX. kerület", 53 m² terület, 1 + 2 fél szoba
 23.5 M Ft ," Huba utca, XIII. kerület", 25 m² terület, 1 szoba
 27.5 M Ft ," Vécsey utca, XX. kerület", 45 m² terület, 1 + 1 fél szoba
 31.5 M Ft ," Nagy Győry István köz, XX. kerület", 43 m² terület, 1 + 1 fél szoba
 18.9 M Ft ," Török Flóris utca, XX. kerület", 36 m² terület, 1 szoba
 21.9 M Ft ," Kassai utca, IV. kerület", 35 m² terület, 1 + 1 fél szoba
 23.3 M Ft ," Nagy Győry István köz, XX. kerület", 43 m² terület, 1 + 1 fél szoba
 32.9 M Ft ," Bem utca 35, XIX. kerület", 67 m² terület, 2 + 1 fél szoba
 36 M Ft ," Erzsébet tér, V. kerület", 30 m² terület, 1 szoba
 30.5 M Ft ," Árpád út 177, IV. kerület", 54 m² terület, 2 + 1 fél szoba
 34.8 M Ft ," Reitter Ferenc utca, XIII. kerület", 47 m² terület, 1 + 1 fél szoba
 27.5 M Ft ," Váci út, XIII. kerület", 31 m² terület, 1 szoba
 29 M Ft ," Árpád út, IV. kerület", 54 m² terület, 2 szoba
 26.6 M Ft ," Szegedi út 51/A, XIII. kerület", 36 m² terület, 1 + 1 fél szoba
 26.5 M Ft ," Ábrahám Géza utca, XX. kerület", 56 m² terület, 2 szoba
 26.5 M Ft ," Toldy utca, XIX. kerület", 59 m² terület, 1 + 2 fél szoba
 25.8 M Ft ," Török Flóris utca, XX. kerület", 50 m² terület, 2 szoba
 29 M Ft ," Kerekes utca, XIII. kerület", 33 m² terület, 1 szoba
 25.5 M Ft ," Eperjes utca 90, XX. kerület", 45 m² terület, 1 + 1 fél szoba
 32 M Ft ," Munkásotthon utca, IV. kerület", 53 m² terület, 1 + 2 fél szoba
 19.85 M Ft ," Szent László út 10, XIII. kerület", 31 m² terület, 1 szoba
 37.9 M Ft ," Szent László út 14, XIII. kerület", 54 m² terület, 2 szoba
 31.8 M Ft ," Ügető utca, IV. kerület", 36 m² terület, 1 + 1 fél szoba
 29 M Ft ," Gyöngyösi utca, XIII. kerület", 35 m² terület, 1 + 1 fél szoba
 31.9 M Ft ," Gyöngyösi utca, XIII. kerület", 35 m² terület, 1 + 1 fél szoba
 33 M Ft ," Vadász utca, V. kerület", 24 m² terület, 1 + 1 fél szoba
 29.7 M Ft ," Szegedi út, XIII. kerület", 38 m² terület, 1 szoba
 28.5 M Ft ," Vörösmarty utca, XX. kerület", 35 m² terület, 1 szoba
 32.5 M Ft ," Thurzó utca 19, XIII. kerület", 33 m² terület, 1 szoba
 34 M Ft ," Rózsa utca, IV. kerület", 72 m² terület, 2 + 1 fél szoba
 21.5 M Ft ," Károlyi István utca, IV. kerület", 28 m² terület, 1 szoba
 22.5 M Ft ," Aradi utca, IV. kerület", 35 m² terület, 1 + 1 fél szoba
 29.2 M Ft ," Árpád utca, XIX. kerület", 53 m² terület, 1 + 2 fél szoba
 22.3 M Ft ," Zsinór utca, XIII. kerület", 24 m² terület, 1 szoba
 32.8 M Ft ," Nádasdy Kálmán utca 26, IV. kerület", 64 m² terület, 2 szoba
 29.5 M Ft ," Zoltán utca, XIX. kerület", 44 m² terület, 2 szoba
 34.9 M Ft ," Gólya utca 6, XX. kerület", 67 m² terület, 2 szoba
 33 M Ft ," Ady Endre utca, XX. kerület", 67 m² terület, 2 + 1 fél szoba
 32 M Ft ," József nádor tér, V. kerület", 23 m² terület, 1 szoba
 31.99 M Ft ," Pannónia utca, XIII. kerület", 39 m² terület, 1 szoba
 33.3 M Ft ," Forgách köz 18, XIII. kerület", 46 m² terület, 1 + 1 fél szoba
 28.4 M Ft ," Nyár utca 95-101, IV. kerület", 53 m² terület, 2 szoba
 19.9 M Ft ," Násznagy utca 26, XIII. kerület", 32 m² terület, 1 szoba
 34.9 M Ft ," Gyermek tér 4., XIII. kerület", 40 m² terület, 2 szoba
